#{"t_start": 1720385700.177483, "env_id": "None"}
r,l,t
-1105.306664,100,0.02114
-475.410916,100,0.038551
547.251777,100,0.055928
143.912494,100,0.073281
246.33503,100,0.090166
-342.202707,100,0.107007
354.361254,100,0.123842
-564.520964,100,0.140653
365.644326,100,0.15742
181.088946,100,0.17419
766.872606,100,0.191012
-42.462581,100,0.207553
304.687762,100,0.223633
-102.777855,100,0.240433
382.497613,100,0.258004
-100.57837,100,0.274868
-348.006562,100,0.291739
-377.283416,100,0.308082
-619.074051,100,0.324413
92.18356,100,0.340656
6.91408,100,0.707021
414.440643,100,0.724146
-140.273338,100,0.741886
-31.930591,100,0.758834
25.972737,100,0.775706
363.087348,100,0.792511
6.289233,100,0.809391
-131.595246,100,0.826274
-645.495131,100,0.843105
8.987539,100,0.859972
-185.68891,100,0.876784
132.931176,100,0.893672
-373.585551,100,0.909966
87.142068,100,0.926088
-1362.55654,100,0.942291
-25.555939,100,0.958428
-253.915927,100,0.974594
-194.445198,100,0.990921
305.874417,100,1.007134
-152.617492,100,1.023335
81.79851,100,1.40855
97.695327,100,1.425851
228.902768,100,1.442901
130.985539,100,1.459771
-73.788861,100,1.476648
82.605736,100,1.493528
-701.694512,100,1.510463
302.818049,100,1.527384
-81.171053,100,1.54491
350.022409,100,1.562037
119.828461,100,1.579015
-366.349331,100,1.595938
588.144656,100,1.612578
-388.136975,100,1.62878
-386.313776,100,1.644998
21.182777,100,1.661128
299.072439,100,1.67732
170.9485,100,1.693489
32.345137,100,1.709673
883.825071,100,1.72585
-259.349972,100,1.743414
-6.078356,100,2.157338
-23.641537,100,2.174616
351.452692,100,2.191972
359.033781,100,2.208999
-21.371199,100,2.22594
77.197968,100,2.24283
125.966733,100,2.259787
69.996692,100,2.277964
164.982952,100,2.294933
312.604536,100,2.312018
80.962929,100,2.329032
-117.70694,100,2.346766
-228.487119,100,2.364158
101.349649,100,2.380795
-59.038658,100,2.397162
-428.017768,100,2.414475
-712.656248,100,2.431403
-179.034673,100,2.447815
118.646426,100,2.464052
-302.428264,100,2.480332
-101.434625,100,2.838238
215.950641,100,2.855345
211.342388,100,2.872243
23.133257,100,2.88908
-274.790018,100,2.905754
317.72164,100,2.922421
219.316344,100,2.939075
307.734647,100,2.955817
44.153995,100,2.972545
-2033.916123,100,2.989305
152.708591,100,3.006035
91.581326,100,3.022786
250.753064,100,3.039392
816.621794,100,3.055425
127.936799,100,3.07146
-824.443328,100,3.087417
83.164363,100,3.103353
-121.476784,100,3.119424
-33.467716,100,3.135413
303.390759,100,3.151418
-185.241346,100,3.167427
205.965866,100,3.527727
284.214142,100,3.544814
324.445111,100,3.561761
-64.18094,100,3.578594
299.208684,100,3.595391
393.58815,100,3.612278
27.291005,100,3.629219
274.01177,100,3.646072
-38.969286,100,3.662975
299.02352,100,3.679828
26.655656,100,3.696696
-437.347844,100,3.713589
296.399081,100,3.730001
805.018611,100,3.746585
-230.108583,100,3.763625
363.210151,100,3.780049
15.88865,100,3.796282
130.82711,100,3.812472
-829.13951,100,3.828634
-92.683944,100,3.844768
-111.375307,100,4.198945
183.296927,100,4.215979
998.761456,100,4.232885
348.485339,100,4.2497
291.081847,100,4.266465
-17.056599,100,4.284095
227.531425,100,4.301759
76.16222,100,4.318797
109.467035,100,4.335811
-653.988943,100,4.352554
9.41571,100,4.369355
-224.221752,100,4.386081
-116.00586,100,4.402557
-185.294717,100,4.418595
-92.151412,100,4.434628
98.044879,100,4.450625
-797.546531,100,4.466664
-361.596662,100,4.482681
-120.092032,100,4.498753
-73.544075,100,4.514906
-1089.163668,100,4.531228
-14.165923,100,4.879134
136.08776,100,4.896075
232.552475,100,4.913009
-487.998854,100,4.930239
80.151342,100,4.947084
-1406.535417,100,4.963971
-376.720431,100,4.980888
174.319094,100,4.997845
59.832639,100,5.014794
171.365689,100,5.031836
-171.930445,100,5.048783
-246.335284,100,5.065799
-312.514465,100,5.082151
-308.546528,100,5.098397
224.802509,100,5.114647
-279.009779,100,5.130919
175.442366,100,5.147181
-191.908086,100,5.163437
203.940813,100,5.179718
-362.278049,100,5.196197
196.983072,100,5.658583
-789.339194,100,5.675736
-217.0215,100,5.693004
111.321242,100,5.710605
-87.900305,100,5.727921
31.247188,100,5.745838
430.984177,100,5.762998
574.750195,100,5.78018
507.164324,100,5.797317
30.189932,100,5.814364
539.705144,100,5.831364
166.692996,100,5.848459
