#{"t_start": 1722782052.274894, "env_id": "None"}
r,l,t
-53974.504731,400,0.114942
-24503.80049,400,0.225372
-28747.306327,400,0.328599
-18030.156296,400,0.433111
-32430.193649,400,0.536548
-20709.913051,400,1.09242
-96078.865176,400,1.202261
-22007.797429,400,1.305531
-35642.61838,400,1.413767
-36268.966529,400,1.520764
-12309.234501,400,2.058384
-14408.701276,400,2.168716
-12967.71588,400,2.271882
-21960.762454,400,2.374442
-39286.140822,400,2.477353
-22840.290327,400,3.018133
-60587.443581,400,3.128138
-13693.166871,400,3.231828
-11644.761541,400,3.336126
-25222.003757,400,3.444048
-22865.725781,400,4.017498
-23260.880906,400,4.126902
-32967.257153,400,4.231038
-38248.013418,400,4.334
-19809.554609,400,4.438302
-15720.002863,400,4.995806
-50345.65782,400,5.108266
-42668.594302,400,5.220065
-44378.602022,400,5.331094
-43411.111369,400,5.470003
-43539.684229,400,6.091467
-11473.468101,400,6.20294
-66447.022144,400,6.311102
-48902.540653,400,6.584735
-36572.991203,400,6.698246
-92272.522671,400,7.583814
-20744.296174,400,7.708025
-23662.224996,400,7.82189
-22913.251732,400,7.931516
-28712.008937,400,8.038932
-23806.329276,400,8.571799
-54488.685451,400,8.682374
-15196.499245,400,8.790812
-47942.494758,400,8.901167
-26803.061405,400,9.008878
-33462.093105,400,9.138174
-34428.400162,400,10.011778
-15019.235323,400,10.122401
-55168.89903,400,10.225775
-20597.792319,400,10.327841
-25560.972952,400,10.429812
-15589.223405,400,11.003791
-18619.694128,400,11.121658
-41039.281296,400,11.223354
-19937.879941,400,11.323676
-35315.719193,400,11.425205
-60953.469498,400,11.9354
-17777.750526,400,12.049022
-24520.941017,400,12.159184
-35611.968718,400,12.268737
-24105.005209,400,12.38028
-14769.524597,400,12.890381
-18225.007794,400,12.998536
-18779.094207,400,13.102211
-20431.879187,400,13.203862
-72686.75609,400,13.30448
-17613.455824,400,13.796081
-18284.91462,400,13.902397
-14541.447423,400,14.00395
-23401.809624,400,14.104458
-22080.725113,400,14.250157
-26304.65632,400,14.957237
-12767.021337,400,15.065441
-60690.215533,400,15.169566
-14306.781704,400,15.270804
-22956.47479,400,15.372246
-51649.334184,400,15.942592
-31971.763371,400,16.050766
-14161.099662,400,16.15486
-35522.584007,400,16.254596
-27303.213968,400,16.35508
-32197.754632,400,16.87299
-16706.549735,400,16.9821
-31513.335909,400,17.089032
-36127.105011,400,17.190515
-20434.466911,400,17.292373
-69752.957283,400,17.393725
-73129.571055,400,17.901735
-25018.602106,400,18.008057
-38410.908549,400,18.109751
-12671.978382,400,18.211305
-30733.171925,400,18.312726
-7753.807988,400,18.822023
-39922.408845,400,18.929775
-72310.239703,400,19.03091
-14849.786283,400,19.131842
-22605.472993,400,19.232757
-33081.465417,400,19.734257
-31431.764047,400,19.841745
-24949.989958,400,19.943756
-16107.519919,400,20.044703
-20684.609624,400,20.145526
-90906.936154,400,20.652114
-23262.628416,400,20.759174
-21441.852889,400,20.861769
-44224.616648,400,20.962822
-37844.277217,400,21.063397
-65323.476683,400,21.587918
-43471.888254,400,21.698575
-18192.266919,400,21.810641
-42462.161462,400,21.922483
-18384.18914,400,22.025366
-24494.937688,400,22.511755
-34884.578106,400,22.618959
-40035.19652,400,22.726488
-35438.516513,400,22.829365
-43142.420845,400,22.931654
-30961.371627,400,23.446913
-31243.904637,400,23.554786
-28837.08132,400,23.66019
-37196.624289,400,23.762742
-37006.560867,400,23.864547
-96204.237836,400,24.356709
-28366.362671,400,24.464333
-68624.944734,400,24.569902
-39835.186531,400,24.67063
-29733.510518,400,24.771347
-41415.677098,400,24.872327
-39134.677134,400,25.375181
-25862.209329,400,25.482196
-71674.761427,400,25.585418
-23239.600767,400,25.688567
-34853.395809,400,25.788203
-24128.746075,400,26.320889
-27219.69422,400,26.429135
-15475.987574,400,26.531692
-25149.547776,400,26.633785
-62287.722076,400,26.735017
-28027.538943,400,27.240083
-24734.352165,400,27.347747
-33471.537474,400,27.449955
-23235.608032,400,27.549784
-51246.86769,400,27.649401
-59701.762913,400,28.141174
-16774.438986,400,28.248177
-18399.526241,400,28.3511
-25499.112291,400,28.45344
-102148.731103,400,28.554323
-25192.273661,400,29.053554
-13905.69199,400,29.161769
-21568.381041,400,29.265982
-22897.349639,400,29.367732
-26420.131468,400,29.469111
-8139.451782,400,30.043395
-31890.523555,400,30.151222
-27486.907969,400,30.256301
-12063.16565,400,30.35859
-18206.212942,400,30.460063
-20208.299599,400,31.029953
-44290.078875,400,31.138091
-17513.448436,400,31.253758
-18749.313333,400,31.368556
-25993.374047,400,31.485309
-76489.491581,400,32.024927
-57266.355007,400,32.133324
-13017.331745,400,32.239139
-15107.58553,400,32.340866
-46756.197198,400,32.442602
-43022.293419,400,32.964883
-23193.695883,400,33.072089
-76283.039989,400,33.177818
-20232.343515,400,33.278552
-17482.698155,400,33.378955
-79689.838552,400,33.479551
-9499.443687,400,33.995259
-15348.680342,400,34.100973
-17258.950931,400,34.200967
-25947.619828,400,34.302895
-28414.653965,400,34.404112
-9308.459723,400,34.928688
-20215.688536,400,35.036176
-34760.120844,400,35.13719
-43003.697264,400,35.238179
-38936.908982,400,35.338202
-28308.528191,400,35.907973
-41950.177525,400,36.017988
-8969.709332,400,36.124281
-25167.512417,400,36.235511
-21993.430803,400,36.339975
-33728.121253,400,36.890113
-21911.622073,400,37.00125
-16410.870043,400,37.111907
-26000.735714,400,37.221735
-22112.554458,400,37.330002
-26415.433875,400,37.915881
-20015.774338,400,38.029155
-59187.949162,400,38.136531
-39857.107869,400,38.24107
-35026.282889,400,38.347814
-58840.727396,400,38.923709
-18870.244101,400,39.031787
-17382.324889,400,39.135731
-29282.668784,400,39.238747
-34587.174162,400,39.340608
-41499.682656,400,40.012495
-19404.079582,400,40.133415
-23314.823185,400,40.251525
-14742.839961,400,40.367921
-28816.72521,400,40.477992
-26699.136823,400,41.167589
-31255.021207,400,41.279563
-27093.838101,400,41.386581
-24239.765705,400,41.493128
-31313.461795,400,41.596625
-48107.418274,400,41.698373
-10395.585657,400,42.213993
-15576.670599,400,42.325758
-47211.930134,400,42.434754
-25555.711807,400,42.542847
-57099.772926,400,42.651399
-16971.067367,400,43.186517
-12198.877363,400,43.294791
-11973.940805,400,43.400713
-18080.805827,400,43.505902
-25112.034732,400,43.608644
-24329.887311,400,44.201799
-26519.005436,400,44.309451
-12386.645714,400,44.412667
-53497.892974,400,44.531846
-24011.388952,400,44.646443
-12233.019209,400,45.218175
-30429.096723,400,45.326083
-33306.021888,400,45.43172
-34559.785439,400,45.536359
-38174.285306,400,45.640129
-30643.276887,400,46.158621
-107908.387267,400,46.266328
-10074.023811,400,46.370579
-16255.612421,400,46.471939
-33039.589396,400,46.573533
-37162.018195,400,47.074275
-16719.571443,400,47.181921
-21022.158281,400,47.286512
-9821.72456,400,47.393051
-23745.013804,400,47.51129
-40284.390693,400,48.182887
-13356.528694,400,48.30102
-18575.262462,400,48.409469
-27471.902439,400,48.521875
-37852.849508,400,48.628049
