#{"t_start": 1722807883.091973, "env_id": "None"}
r,l,t
-11309.051581,400,0.147737
-36798.551623,400,0.287557
-28739.554323,400,0.42627
-17607.924893,400,0.564657
-37250.78812,400,0.702035
-11655.609432,400,1.489411
-42505.190467,400,1.647254
-10357.799601,400,1.850833
-14238.884307,400,2.000746
-7433.981668,400,2.146949
-13372.297619,400,2.869279
-15772.773409,400,3.009027
-17309.053429,400,3.147099
-8056.369687,400,3.284145
-10015.796451,400,3.424023
-25687.612022,400,4.091683
-29036.571907,400,4.234731
-21252.833837,400,4.372722
-8362.133214,400,4.511126
-14957.860953,400,4.650771
-9144.695166,400,5.348688
-17976.169326,400,5.486147
-18393.288611,400,5.625239
-14844.997266,400,5.764018
-15037.513954,400,5.903694
-25270.448815,400,6.557377
-27679.538633,400,6.707351
-31715.036179,400,6.843782
-12798.598742,400,6.980406
-12829.163921,400,7.118463
-22706.483008,400,7.873812
-19785.98817,400,8.096283
-25440.291971,400,8.248736
-46857.754579,400,8.449178
-16773.727321,400,8.609667
-46217.577729,400,9.263391
-12522.020705,400,9.403909
-17171.008012,400,9.541221
-5973.392967,400,9.690505
-28668.427115,400,9.83135
-30701.05568,400,10.643073
-6992.050549,400,10.815203
-13019.976478,400,11.003678
-40742.847666,400,11.214681
-30941.99022,400,11.359282
-15824.595555,400,11.50241
-15398.043054,400,12.17454
-27277.15528,400,12.313537
-13660.083519,400,12.451385
-18305.439138,400,12.590766
-19368.665247,400,12.729604
-18722.506544,400,13.432539
-11255.70277,400,13.58886
-28531.134691,400,13.732208
-15390.845125,400,13.870947
-10279.317471,400,14.010862
-17598.901774,400,14.685481
-8986.722621,400,14.824165
-21087.142758,400,14.963491
-17688.603531,400,15.102403
-26398.79197,400,15.240804
-11170.686403,400,15.912992
-23030.290852,400,16.057541
-22598.351672,400,16.213407
-19843.536942,400,16.353076
-8303.271236,400,16.495689
-13578.447384,400,17.219861
-14408.469692,400,17.358664
-9615.820258,400,17.49713
-12732.109999,400,17.63859
-9114.059929,400,17.778951
-26026.25512,400,18.471011
-14597.60164,400,18.620278
-29762.091626,400,18.760262
-27264.881093,400,18.897703
-8878.914765,400,19.035626
-25620.326864,400,19.725793
-18759.660028,400,19.863363
-17246.891873,400,20.000628
-14481.549245,400,20.13876
-20936.744401,400,20.278995
-18203.244971,400,20.939118
-9989.344249,400,21.080046
-15877.170038,400,21.227039
-26271.271536,400,21.450591
-15181.612626,400,21.67393
-11152.728169,400,21.820362
-35599.869609,400,22.599828
-19025.06526,400,22.738748
-17424.340112,400,22.877862
-16915.338148,400,23.014241
-11817.538523,400,23.153473
-15683.162418,400,23.805411
-21761.402288,400,23.944015
-10284.669531,400,24.083186
-6698.949576,400,24.222419
-11669.661902,400,24.360125
-28195.687065,400,25.069079
-42632.139576,400,25.207158
-12436.779297,400,25.346845
-18268.08309,400,25.48426
-8367.347952,400,25.621605
-34641.166216,400,26.313165
-14204.068774,400,26.456102
-26228.038476,400,26.593302
-9824.601482,400,26.735749
-12272.971576,400,26.873413
-9286.491486,400,27.668327
-37107.60627,400,27.806036
-14135.28752,400,27.948864
-46901.192782,400,28.087024
-9386.470969,400,28.225907
-16348.803706,400,29.004923
-19986.893419,400,29.142983
