#{"t_start": 1720386085.684785, "env_id": "None"}
r,l,t
-696.237703,100,0.019864
-715.378932,100,0.036665
591.139336,100,0.053361
78.541895,100,0.070369
199.675887,100,0.08703
-217.006575,100,0.103629
343.391796,100,0.120268
-455.301052,100,0.136869
191.274812,100,0.154556
177.32559,100,0.171248
527.096982,100,0.188058
10.54852,100,0.205711
233.418945,100,0.222631
-24.600754,100,0.23919
410.648932,100,0.25559
-261.099998,100,0.271688
-113.939505,100,0.287772
-63.623022,100,0.303831
-622.161524,100,0.319874
30.835915,100,0.33593
27.262174,100,0.720259
320.562791,100,0.73721
-267.929041,100,0.754035
108.663804,100,0.770956
141.820337,100,0.78784
305.227583,100,0.804779
-262.557872,100,0.821674
-363.223324,100,0.83857
-818.010394,100,0.855371
67.990484,100,0.872255
14.879695,100,0.889499
41.217348,100,0.90663
-783.341376,100,0.92293
297.797136,100,0.939008
-1091.037171,100,0.955209
187.480813,100,0.971299
-195.339767,100,0.987485
-341.048946,100,1.003691
357.082214,100,1.020092
-10.275196,100,1.036524
-275.371777,100,1.421243
-4.674483,100,1.43844
306.589741,100,1.455277
103.39147,100,1.472087
-42.586769,100,1.488813
164.380357,100,1.505555
-699.155217,100,1.522382
254.998273,100,1.539106
77.45777,100,1.555879
429.884851,100,1.572599
94.562738,100,1.58928
-108.778209,100,1.60603
567.253403,100,1.622738
-57.450129,100,1.639626
-442.827318,100,1.656454
-220.186676,100,1.672624
332.785582,100,1.6887
208.291983,100,1.704777
11.165178,100,1.720881
706.257119,100,1.736969
-170.682277,100,1.753041
87.578584,100,2.18796
-68.216663,100,2.204707
345.191173,100,2.221386
355.17707,100,2.237908
-147.882974,100,2.25438
230.533509,100,2.27098
3.33548,100,2.287583
78.936255,100,2.304148
118.054311,100,2.320684
378.266596,100,2.337235
80.779522,100,2.353804
16.009685,100,2.370329
-131.254955,100,2.386494
92.235945,100,2.402311
11.122113,100,2.418141
61.564736,100,2.433952
-635.439602,100,2.449828
-238.24269,100,2.465583
37.960775,100,2.481426
-260.385926,100,2.497256
-12.16269,100,2.885397
326.210267,100,2.903574
248.585685,100,2.920501
35.09361,100,2.937304
-412.393762,100,2.953924
