#{"t_start": 1722814176.576898, "env_id": "None"}
r,l,t
-19826.861289,400,0.105611
-30490.113143,400,0.203441
-15774.366945,400,0.29548
-12561.037591,400,0.387534
-36825.029909,400,0.483834
-47326.879119,400,1.009357
-11743.112105,400,1.111427
-7326.631652,400,1.210109
-16640.316891,400,1.307995
-24217.251491,400,1.405735
-43709.883755,400,1.880681
-16852.501456,400,1.984669
-8025.384064,400,2.085379
-15084.383034,400,2.185272
-9090.893291,400,2.284627
-3871.04253,400,2.776752
-11349.001428,400,2.876011
-26351.426157,400,2.970451
-14386.407896,400,3.06382
-35321.0013,400,3.163872
-22625.443074,400,3.630811
-5768.05651,400,3.732533
-9428.337448,400,3.831373
-6022.320027,400,3.926674
-24854.578271,400,4.019265
-25964.410316,400,4.503733
-8068.656759,400,4.602919
-18146.058675,400,4.698248
-34539.330632,400,4.78999
-11299.447105,400,4.881766
-11853.749326,400,5.439706
-27976.529688,400,5.540039
-13189.50694,400,5.637849
-43735.207573,400,5.730753
-4168.424236,400,5.823085
-14574.586496,400,6.267093
-19299.782477,400,6.369725
-14464.817155,400,6.470105
-10038.178429,400,6.570689
-24284.170596,400,6.666105
-22524.903343,400,7.139
-58721.043918,400,7.240324
-15848.376939,400,7.341243
-19175.155653,400,7.434952
-22636.071351,400,7.528061
-11002.97968,400,7.621845
-22079.413581,400,8.109672
-15153.325063,400,8.207899
-17718.162936,400,8.300477
-5452.573421,400,8.413303
-35522.77146,400,8.50562
-3174.117359,400,8.97059
-22005.435916,400,9.068846
-4538.887547,400,9.163176
-46244.597106,400,9.255124
-18872.445116,400,9.347507
-9947.811278,400,9.806986
-18799.325111,400,9.904988
-9215.791013,400,9.998384
-9538.293915,400,10.089844
-7484.020224,400,10.181273
-15789.135935,400,10.713959
-57020.290344,400,10.811592
-8626.931669,400,10.905299
-10230.164587,400,10.996414
-29533.526948,400,11.087371
-5982.265118,400,11.522617
-34932.474498,400,11.621449
-30506.150933,400,11.716313
-9628.217787,400,11.80857
-17968.154293,400,11.901742
-13401.194051,400,12.336056
-20552.105941,400,12.434553
