#{"t_start": 1722809961.880946, "env_id": "None"}
r,l,t
-14865.59262,400,0.135518
-47571.58321,400,0.261909
-8364.898387,400,0.388591
-15024.922762,400,0.516862
-22138.176177,400,0.644802
-37408.807998,400,1.275674
-68527.993176,400,1.39933
-7513.83198,400,1.525663
-12296.801639,400,1.650803
-37496.231984,400,1.775381
-13464.881873,400,2.390482
-16705.199211,400,2.513562
-34577.109136,400,2.636619
-22522.545217,400,2.760029
-26707.500192,400,2.883451
-11878.281602,400,3.456906
-60501.65687,400,3.581205
-20570.123045,400,3.704347
-14095.863361,400,3.827302
-10201.605739,400,3.951192
-14130.175364,400,4.530259
-17389.423375,400,4.655397
-21859.888925,400,4.779943
-47705.462228,400,4.903388
-17429.678571,400,5.02846
-51618.191963,400,5.575821
-32528.878663,400,5.701346
-70085.348321,400,5.826417
-16615.346117,400,5.950782
-30932.993205,400,6.07416
-55928.505877,400,6.629945
-20530.218954,400,6.754406
-20854.713948,400,6.878924
-74980.240011,400,7.002701
-11526.925782,400,7.125272
-86856.593106,400,7.67838
-14466.209848,400,7.803155
-14212.019236,400,7.927528
-8565.416955,400,8.056849
-35302.043796,400,8.185151
-17724.831668,400,8.728203
-40805.367784,400,8.852929
-37022.88384,400,8.976412
-50752.056585,400,9.10022
-14251.724249,400,9.224238
-49171.284683,400,9.348172
-59668.614673,400,9.899438
-27809.038407,400,10.023399
-18506.356131,400,10.147744
-45734.723247,400,10.271502
-33486.49256,400,10.395728
-18265.194016,400,11.032598
-24631.136801,400,11.157995
-31268.920069,400,11.331565
-11134.328582,400,11.457975
-25102.15644,400,11.58435
-32910.122333,400,12.160951
-15570.746198,400,12.285531
-11688.441399,400,12.411985
-17036.658973,400,12.537889
-29916.670785,400,12.662852
-29373.438736,400,13.203832
-13113.84412,400,13.328027
-20602.245121,400,13.452586
-20589.69968,400,13.576875
-49241.667887,400,13.702132
-40657.345828,400,14.276751
-28152.906707,400,14.403444
-11711.280937,400,14.529936
-38151.425011,400,14.654031
-10092.117392,400,14.778536
-19313.303906,400,15.374686
-16012.26326,400,15.49987
-20266.357615,400,15.626816
-21854.125378,400,15.749984
-30744.406119,400,15.875928
-34704.775423,400,16.437532
-40852.992622,400,16.565163
-69959.529583,400,16.69243
-18209.7645,400,16.8168
-48134.485908,400,16.944135
-24873.755732,400,17.517925
-7717.259403,400,17.642726
-24141.063504,400,17.767905
-22955.707149,400,17.89377
-65441.531106,400,18.01972
-84141.296598,400,18.147632
