#{"t_start": 1722781289.334511, "env_id": "None"}
r,l,t
-55277.196043,400,0.115193
-54637.471478,400,0.223568
-56975.623242,400,0.328731
-21072.04512,400,0.442531
-93482.201418,400,0.592276
-29569.674789,400,1.211127
-208543.904108,400,1.317727
-39058.979325,400,1.419276
-62996.157229,400,1.519178
-34663.65117,400,1.619039
-46881.922155,400,2.115217
-37867.113687,400,2.221419
-32194.811662,400,2.322141
-29757.639603,400,2.42435
-108980.707147,400,2.52715
-25779.063477,400,3.029973
-54494.317306,400,3.137294
-20795.410543,400,3.240548
-33279.481602,400,3.342716
-26254.582496,400,3.444355
-26305.283286,400,3.931555
-47005.58188,400,4.039289
-57019.288269,400,4.142474
-38796.480853,400,4.242628
-45699.934976,400,4.342612
-69679.338515,400,4.856014
-41981.038616,400,4.964664
-49819.600086,400,5.069559
-27709.905881,400,5.172781
-89265.883218,400,5.274975
-76308.628139,400,5.77026
-28361.79039,400,5.877979
-65451.853781,400,5.983848
-115429.777624,400,6.085469
-54246.454624,400,6.185743
-137476.804933,400,6.704611
-60852.542079,400,6.813782
-33797.830163,400,6.920424
-22592.04376,400,7.023059
-34166.879116,400,7.124793
-50147.097638,400,7.618563
-111709.169897,400,7.726629
-18921.823091,400,7.833829
-66334.09975,400,7.937801
-36221.895271,400,8.039867
-35665.132577,400,8.140984
-32249.536555,400,8.640127
-14722.6953,400,8.746615
-48122.502142,400,8.847215
-31977.699661,400,8.94816
-26567.857841,400,9.051226
-42399.936042,400,9.575213
-45621.963725,400,9.684476
-65803.72676,400,9.787943
-21635.011265,400,9.910612
-51011.038657,400,10.011451
-43804.940695,400,10.52371
-20975.928545,400,10.631796
-15312.60827,400,10.735448
-43044.907296,400,10.838667
-18674.485238,400,10.941938
-21367.77101,400,11.430252
-32079.74803,400,11.538269
-25911.410337,400,11.640822
-34271.765831,400,11.741982
-82953.013121,400,11.842997
-31192.78447,400,12.326901
-42705.34099,400,12.436015
-41079.309202,400,12.541029
-54297.861231,400,12.644426
-22120.002341,400,12.747531
-36212.059727,400,13.234521
-31969.078577,400,13.342058
-25540.69351,400,13.445972
-28789.760795,400,13.545848
-43994.760224,400,13.65035
-91063.71072,400,14.491294
-72847.456108,400,14.612463
-79136.343785,400,14.728644
-45519.51716,400,14.840883
-34187.682719,400,14.955538
-43531.371652,400,15.554753
-20938.280124,400,15.67174
-43624.796561,400,15.785438
-89372.171103,400,15.90495
-36581.305896,400,16.0193
-50708.628267,400,16.142722
-62265.510456,400,17.08216
-43933.660012,400,17.217253
-50520.784419,400,17.35299
-71100.499699,400,17.470022
-57774.664182,400,17.599412
-35021.605543,400,18.557418
-126887.323139,400,18.672719
-116730.411966,400,18.788268
-34827.079273,400,18.903799
-31199.394075,400,19.016818
-36667.506478,400,19.90124
-69214.686163,400,20.056607
-46575.796534,400,20.183709
-43393.699887,400,20.329492
-17530.951412,400,20.474671
-96354.551194,400,21.682649
-38287.461221,400,21.799522
-107058.019231,400,21.930967
-14140.080348,400,22.074832
-31409.29848,400,22.213607
-44554.571323,400,23.338768
-79413.598839,400,23.457121
-22299.836201,400,23.577326
-93176.961999,400,23.700158
-28320.380772,400,23.81782
-98642.207036,400,25.031728
-22771.334604,400,25.151496
-82317.828031,400,25.271022
-48039.131443,400,25.392787
-56554.23563,400,25.510544
-36565.432612,400,26.529837
-35109.628587,400,26.644965
