#{"t_start": 1722807717.465787, "env_id": "None"}
r,l,t
-10785.3863,400,0.147896
-35799.402615,400,0.285413
-22655.926355,400,0.423815
-14241.759416,400,0.561898
-29524.610055,400,0.699204
-30739.602475,400,1.340834
-21560.467188,400,1.479153
-8647.710619,400,1.616973
-17076.572965,400,1.754765
-43540.25911,400,1.893213
-37273.531913,400,2.525613
-19584.486871,400,2.664016
-9131.027241,400,2.802143
-19200.966523,400,2.939595
-11469.158726,400,3.077665
-10110.838762,400,3.70212
-23869.417618,400,3.839444
-8780.645911,400,3.97592
-17352.847053,400,4.114738
-30471.209715,400,4.25202
-17898.613487,400,4.868908
-20687.011993,400,5.00724
-11311.257236,400,5.145732
-8541.667267,400,5.283447
-27742.000378,400,5.421132
-31625.51492,400,6.038815
-13756.204346,400,6.17623
-18224.493018,400,6.312881
-19199.478068,400,6.449192
-9810.595433,400,6.586881
-22029.689275,400,7.21504
-37390.634803,400,7.352467
-35450.229355,400,7.490858
-38704.687409,400,7.629307
-8860.385142,400,7.76802
-14667.378022,400,8.391661
-23805.561232,400,8.530132
-36785.507433,400,8.668252
-9315.682646,400,8.805504
-24808.587439,400,8.942143
-23060.865106,400,9.557381
-46838.503494,400,9.695889
-28749.79154,400,9.833208
-22355.063532,400,9.969559
-28432.455619,400,10.108484
-10079.234692,400,10.246849
-6846.7374,400,10.873924
-24717.397915,400,11.011781
-8752.107951,400,11.150367
-7054.510117,400,11.287684
-36949.868827,400,11.425996
-6508.855923,400,12.05369
-22471.300185,400,12.191993
-10709.982293,400,12.328722
-45114.914743,400,12.46618
-8641.519531,400,12.604238
-15219.281201,400,13.219068
-8236.990966,400,13.356972
-18586.436585,400,13.496036
-12798.483432,400,13.634929
-9055.801711,400,13.772977
-11234.423008,400,14.398801
-48132.853208,400,14.537485
-15420.647064,400,14.674648
-11331.863455,400,14.812605
-8213.056205,400,14.949879
-14830.444204,400,15.566095
-29908.69635,400,15.704476
-10609.260449,400,15.842711
-21888.26119,400,15.978409
-20092.288783,400,16.11705
-16330.252021,400,16.746649
-21305.405185,400,16.885433
-38891.894748,400,17.024171
-8364.007343,400,17.161713
-21033.165104,400,17.300927
-32829.414856,400,17.918706
-21635.748617,400,18.05817
-27117.29646,400,18.197051
-11622.251967,400,18.33487
-19568.97469,400,18.473285
-60810.773987,400,19.091806
-7013.080983,400,19.230908
-25946.979728,400,19.368313
-29398.647477,400,19.505323
-22294.121474,400,19.642774
-44503.290174,400,19.77992
-15774.442001,400,20.401108
-11417.417734,400,20.540561
-8501.032236,400,20.677496
-12232.770124,400,20.815068
-11377.415027,400,20.953591
-17674.924903,400,21.583665
-58165.110011,400,21.72194
-9153.827397,400,21.861262
-14539.407891,400,21.999471
-15569.228006,400,22.138072
-17952.228264,400,22.754733
-12858.028067,400,22.892264
-13675.362663,400,23.031356
-12880.947131,400,23.168728
-14092.014564,400,23.305496
-15315.732146,400,23.923284
-15275.317546,400,24.061502
-23967.106795,400,24.199075
-18148.255314,400,24.360559
-22797.047795,400,24.49863
-12181.712642,400,25.117103
-22941.655164,400,25.254615
-16140.400024,400,25.393358
-39165.362281,400,25.532098
-35358.091859,400,25.670269
-12045.440284,400,26.287282
-29272.080005,400,26.424858
-12681.186114,400,26.563958
-13974.316541,400,26.702189
-41910.934926,400,26.839847
-8158.00563,400,27.465124
-15131.457232,400,27.603798
-16061.544215,400,27.741789
-20907.426736,400,27.879177
-5525.289436,400,28.016751
-10679.722473,400,28.633867
-15342.218636,400,28.771691
-14328.209437,400,28.909634
-30952.390088,400,29.046182
-10083.209095,400,29.184643
-15713.106574,400,29.321959
-11642.930843,400,29.951702
-21133.122305,400,30.09055
-10993.419305,400,30.227686
-19432.611256,400,30.365026
-31507.538108,400,30.50383
-26042.786579,400,31.111978
-16124.843724,400,31.252388
-24758.983162,400,31.390038
-27232.39839,400,31.529505
-7394.300584,400,31.667531
-15087.154538,400,32.294796
-8542.309559,400,32.432874
-14367.15952,400,32.571104
-7089.855611,400,32.709361
-34089.762857,400,32.847291
-15775.355359,400,33.504669
-16339.256254,400,33.64966
-4445.076787,400,33.7944
-31685.006838,400,33.935335
-10927.459725,400,34.08207
-18455.596545,400,34.754841
-20838.994074,400,34.894655
-9061.376301,400,35.037328
-44005.57759,400,35.179683
-51225.295517,400,35.410823
-13833.306076,400,36.026728
-19953.22987,400,36.168893
-29940.788976,400,36.311131
-18401.171528,400,36.453394
-46759.810133,400,36.599042
-46223.435056,400,37.252711
-24797.356747,400,37.391355
-44917.916274,400,37.529759
-19836.81864,400,37.666147
-11839.05367,400,37.804835
-54257.429592,400,38.417761
-16310.504204,400,38.556736
-16405.228648,400,38.695045
-13582.118763,400,38.832056
-33875.705887,400,38.969274
-7732.556888,400,39.596433
-10843.494894,400,39.737765
-36301.072736,400,39.87582
-35250.95448,400,40.012935
-11550.150463,400,40.151035
-31164.971376,400,40.289918
-19924.353149,400,40.925606
-21386.416662,400,41.064317
-17789.393599,400,41.202597
-23124.577524,400,41.339773
-8157.998875,400,41.476376
-18029.995785,400,42.109605
-8313.664347,400,42.247104
-11167.749094,400,42.385476
-26446.891925,400,42.523975
-28382.373241,400,42.662536
-29733.212218,400,43.28067
-9632.729546,400,43.418349
-8695.953039,400,43.556345
-11041.006857,400,43.693714
-13687.437593,400,43.830928
-16728.049236,400,44.449193
-14124.617566,400,44.588137
-19805.023558,400,44.725593
-18265.570142,400,44.863128
-10210.93214,400,45.001843
-8643.77312,400,45.619071
-32786.179616,400,45.756655
-34092.509923,400,45.894002
-21349.059092,400,46.033327
-11637.040872,400,46.17087
-29064.195497,400,46.787196
-18523.843772,400,46.925913
-5422.749708,400,47.064474
-21797.833054,400,47.20261
-29244.217365,400,47.340309
-24205.149896,400,47.963445
-5521.282684,400,48.102177
-9941.583534,400,48.240832
-20093.857631,400,48.37886
-16174.277744,400,48.516311
-18092.995107,400,49.147828
-11797.980823,400,49.286089
-12660.948512,400,49.424063
-41370.480468,400,49.561363
-37932.724511,400,49.699195
-18957.837318,400,49.836401
-14294.787331,400,50.455339
-20239.067703,400,50.59353
-14987.48168,400,50.730928
-15569.509118,400,50.868946
-14607.483416,400,51.005825
-20290.688735,400,51.634099
-7637.098966,400,51.77115
-11930.966049,400,51.909764
-11328.842312,400,52.049056
-35546.265339,400,52.186733
-29931.699578,400,52.81053
-21309.009395,400,52.949157
-18703.283951,400,53.088547
-57475.22368,400,53.227594
-15034.402178,400,53.365258
-17574.184792,400,53.992079
-27237.166483,400,54.130357
-17122.540414,400,54.26714
-13796.799966,400,54.405368
-11774.288101,400,54.544725
-8176.204431,400,55.168807
-13531.248072,400,55.308357
-16318.152532,400,55.446525
-25722.627124,400,55.584476
-13265.58551,400,55.72162
-8461.479484,400,56.340782
-41833.144533,400,56.478455
-9695.331346,400,56.6176
-22675.304661,400,56.756018
-9573.956347,400,56.89404
-50577.991449,400,57.511835
-28859.638861,400,57.64994
-10748.572021,400,57.787538
-12383.919065,400,57.926197
-6027.479576,400,58.064859
