#{"t_start": 1722810549.810753, "env_id": "None"}
r,l,t
-14153.351723,400,0.127987
-28889.611387,400,0.250445
-18277.658927,400,0.371741
-16888.0367,400,0.492729
-35680.413874,400,0.613386
-32833.111764,400,1.130477
-14113.624808,400,1.251532
-10721.23419,400,1.372851
-11543.235996,400,1.49346
-48634.520203,400,1.615263
-33900.21814,400,2.130186
-13306.427226,400,2.251252
-8552.45713,400,2.371631
-23257.695854,400,2.491978
-15453.356875,400,2.612241
-6079.246243,400,3.122644
-17472.060081,400,3.242408
-12255.766964,400,3.364691
-16765.107276,400,3.485965
-36704.802816,400,3.607254
-24079.158159,400,4.120226
-17989.398424,400,4.243026
-11977.816159,400,4.365396
-8030.596372,400,4.487527
-33006.494665,400,4.609574
-30998.288733,400,5.130115
-7494.114595,400,5.251191
-28223.09512,400,5.371509
-22694.588115,400,5.491384
-10261.241162,400,5.611289
-25313.814606,400,6.127888
-41845.876959,400,6.248143
-27087.987216,400,6.368139
-49476.302387,400,6.488039
-13583.072735,400,6.60913
-9646.863779,400,7.124444
-17938.125357,400,7.245503
-43446.280449,400,7.365652
-9546.641803,400,7.48578
-21716.729298,400,7.605662
-23474.743464,400,8.116723
-39745.962452,400,8.237733
-31821.430497,400,8.359111
-22822.485412,400,8.479546
-33257.36195,400,8.599648
-6840.636517,400,8.719742
-18316.917114,400,9.230763
-17182.54282,400,9.352578
-6430.331534,400,9.473958
-6948.650335,400,9.595156
-40475.66737,400,9.716131
-10512.852837,400,10.224598
-24331.48144,400,10.346052
-9704.617236,400,10.467056
-45939.795998,400,10.587854
-11601.405123,400,10.708889
-12316.258264,400,11.237407
-16198.482978,400,11.357395
-9772.86914,400,11.476997
-10789.466869,400,11.596552
-6309.372807,400,11.717693
-13859.270491,400,12.233734
-48698.835463,400,12.354745
-13385.588586,400,12.477707
-7644.64314,400,12.600123
-6696.515452,400,12.722534
-13260.170857,400,13.23724
-24583.316982,400,13.360057
-18207.126933,400,13.481189
-17353.071848,400,13.602014
-21601.57032,400,13.722414
-17935.895936,400,14.258602
