#{"t_start": 1722808745.44816, "env_id": "None"}
r,l,t
-17404.155365,400,0.128393
-33722.010215,400,0.250496
-20091.611385,400,0.372475
-13324.746765,400,0.493409
-40993.349982,400,0.615847
-34073.63599,400,1.136208
-19780.504134,400,1.259597
-7919.599623,400,1.381429
-14315.306154,400,1.503493
-42760.924271,400,1.625541
-25355.854325,400,2.170558
-20836.359906,400,2.293025
-10309.114173,400,2.414346
-14925.044355,400,2.534964
-12812.608638,400,2.65928
-5672.55259,400,3.227932
-20070.380949,400,3.348786
-24283.910558,400,3.473288
-20302.653804,400,3.596215
-35756.991444,400,3.718129
-33429.439426,400,4.247691
-12779.024814,400,4.368372
-6857.356964,400,4.489763
-10671.583183,400,4.610458
-31473.134769,400,4.731007
-29848.834698,400,5.276687
-6217.429349,400,5.40059
-28785.710047,400,5.524217
-21840.180552,400,5.646609
-8856.0317,400,5.768239
-24010.541632,400,6.322227
-37251.127571,400,6.446912
-24379.328397,400,6.568651
-48675.477714,400,6.690697
-9577.206939,400,6.811529
-14129.262097,400,7.340758
-19831.594378,400,7.465248
-35443.922498,400,7.588033
-9885.638637,400,7.713779
-17278.269138,400,7.834858
-19162.309863,400,8.397863
-42292.383998,400,8.527
-36905.009349,400,8.654068
-22842.570476,400,8.79803
-33864.339,400,8.987283
-9365.00481,400,9.129362
-23806.136166,400,9.743687
-15008.158143,400,9.867765
-7688.902607,400,9.99309
-8258.310589,400,10.125629
-44128.143575,400,10.261182
-7397.482296,400,10.864731
-23137.572573,400,10.997474
-8284.297864,400,11.132659
-44195.054881,400,11.260512
-10964.045747,400,11.385971
-6268.493282,400,12.017264
-13018.60009,400,12.142153
-10204.159236,400,12.268376
-11649.458752,400,12.392894
-6692.395542,400,12.516871
-9396.096729,400,13.05332
-49125.514547,400,13.177545
-15668.098116,400,13.307431
-9322.481841,400,13.442499
-14306.225958,400,13.571297
-15282.236204,400,14.116545
-21983.739429,400,14.241713
-19510.181037,400,14.366201
-16775.913879,400,14.490069
-21469.360647,400,14.614657
-18972.623526,400,15.244589
-26469.20327,400,15.369523
-39431.787817,400,15.49492
-15858.978511,400,15.618845
-20481.889899,400,15.743101
-30437.1918,400,16.403142
-23882.687346,400,16.530738
-21455.945616,400,16.669507
-11178.217988,400,16.801385
-14567.340063,400,16.931902
-63653.386699,400,17.56086
-7292.290257,400,17.707078
-22691.648879,400,17.8412
-19820.429136,400,17.973472
-21170.892792,400,18.110998
-47486.346058,400,18.244285
-6667.752665,400,18.862765
-12200.744941,400,18.996302
-8856.441784,400,19.121742
-12895.53025,400,19.246824
-13450.434449,400,19.378498
-22076.713594,400,19.921243
-53386.389734,400,20.044927
-8665.00323,400,20.173084
-14310.80524,400,20.30695
-12414.176981,400,20.434752
-10100.205103,400,21.032141
-14775.366634,400,21.158206
-5891.42995,400,21.282616
-12163.785074,400,21.40666
-12215.114552,400,21.535117
-20681.324441,400,22.09061
-15286.311028,400,22.215288
-25826.484162,400,22.340221
-14849.750488,400,22.464962
-23963.147399,400,22.588925
-7139.186482,400,23.160004
-20867.272758,400,23.28822
-11966.448112,400,23.480112
-41268.497358,400,23.610929
-28629.196035,400,23.738572
-13419.56152,400,24.315013
-26256.357992,400,24.442149
-7775.735918,400,24.568003
-20257.576031,400,24.692638
-43108.857966,400,24.816819
-9077.807019,400,25.423023
-15453.91003,400,25.547219
-12306.056761,400,25.671187
-17862.819986,400,25.795831
-6918.928478,400,25.920092
-14016.315813,400,26.486577
-12527.132913,400,26.611498
-14656.089847,400,26.735647
-22723.445323,400,26.860028
-12153.504931,400,26.984248
-7976.483011,400,27.108001
-8588.486326,400,27.714121
-20658.409,400,27.838414
-7747.928148,400,27.963208
-24435.761476,400,28.087035
-27088.48395,400,28.210821
-17541.516929,400,28.805065
-14444.971817,400,28.931986
-26421.286808,400,29.05755
-31681.259084,400,29.182558
-10629.155113,400,29.31301
-14060.215862,400,29.895767
-9844.431135,400,30.018017
-16086.802339,400,30.154296
-7511.6697,400,30.280971
-20950.344689,400,30.404382
-13074.220492,400,30.940003
-21216.21764,400,31.060598
-3148.858118,400,31.184796
-39896.408792,400,31.306942
-9801.756409,400,31.426894
-16786.137911,400,31.979952
-22273.301063,400,32.104586
-8691.670204,400,32.229022
-35243.713675,400,32.353963
-60446.342731,400,32.475971
-12481.946467,400,33.081556
-23330.118692,400,33.204374
-59037.728574,400,33.327184
-18374.960346,400,33.448102
-44855.778693,400,33.571763
-38017.779897,400,34.15261
-23544.085281,400,34.276512
-46872.279238,400,34.397758
-14079.528903,400,34.518599
-12525.063748,400,34.639502
-57767.357671,400,35.197623
-20704.539172,400,35.318139
-15130.416571,400,35.43837
-17261.598555,400,35.560131
-33388.009174,400,35.682663
-8353.074573,400,36.230016
-16833.173023,400,36.352396
-23053.607247,400,36.474329
-28767.49936,400,36.596003
-10955.981256,400,36.717983
-35298.226527,400,36.839603
-14476.800125,400,37.366578
-27169.752627,400,37.488655
-22075.161842,400,37.610402
-26643.470608,400,37.732157
-8006.814,400,37.853544
-17246.612005,400,38.395915
-16610.185941,400,38.518731
-9868.602174,400,38.639921
-21735.811524,400,38.761012
-32665.053272,400,38.883904
-29311.866128,400,39.418888
-7384.252146,400,39.540285
-9367.450488,400,39.663108
-13004.97486,400,39.783861
-6061.451578,400,39.904239
-34452.782909,400,40.42756
-15482.74141,400,40.548736
-14172.976005,400,40.669176
-20296.335939,400,40.791806
-10932.831669,400,40.916412
-13102.30571,400,41.477633
-24661.032159,400,41.600947
-36500.057783,400,41.723454
-25661.438992,400,41.844991
-9993.696278,400,41.969052
-24531.196271,400,42.563335
-14248.208874,400,42.684888
-6070.178395,400,42.807973
-19964.060336,400,42.930466
-25942.219715,400,43.052048
-15308.635978,400,43.588667
-7370.764522,400,43.711383
-9580.854253,400,43.834459
