#{"t_start": 1720385980.000983, "env_id": "None"}
r,l,t
-540.169268,100,0.020285
50.871334,100,0.037103
179.702744,100,0.05397
67.896405,100,0.070704
-53.134707,100,0.087445
-48.100348,100,0.104151
-493.942281,100,0.121214
-95.202672,100,0.137958
181.571559,100,0.155562
-71.189204,100,0.172473
107.59151,100,0.189265
57.143445,100,0.205884
-23.418536,100,0.221844
164.526567,100,0.237818
-203.264515,100,0.253801
11.478618,100,0.269778
-63.293663,100,0.285759
-142.354444,100,0.301738
71.507452,100,0.317714
-188.49897,100,0.333683
64.142033,100,0.683445
136.842779,100,0.700314
-195.110529,100,0.717066
-38.088593,100,0.733743
-73.447247,100,0.750335
284.755741,100,0.766955
204.746602,100,0.783587
215.067022,100,0.800695
-27.197672,100,0.817963
-145.730685,100,0.834827
107.472957,100,0.851656
-43.031695,100,0.868415
171.095513,100,0.884717
-554.900696,100,0.901107
-252.811444,100,0.917243
-646.694493,100,0.933319
159.217517,100,0.949412
-117.745421,100,0.965501
-5.352835,100,0.981529
28.348369,100,0.997563
-193.776648,100,1.356184
101.343492,100,1.373108
338.053667,100,1.390239
76.771258,100,1.407083
283.679287,100,1.423833
135.84898,100,1.440558
234.872294,100,1.457358
21.435406,100,1.47414
-257.300535,100,1.490931
270.86213,100,1.50771
143.192118,100,1.524475
132.757573,100,1.54129
509.526408,100,1.557932
-193.798184,100,1.574556
-119.849289,100,1.591441
-32.885732,100,1.607659
-485.058017,100,1.623836
48.646677,100,1.640002
-145.18656,100,1.656274
558.218383,100,1.672459
140.584997,100,1.688575
38.070097,100,2.129947
-167.97891,100,2.146878
-593.003709,100,2.163959
-125.156965,100,2.18067
87.485052,100,2.19737
-60.572199,100,2.214204
28.384329,100,2.231543
-94.103382,100,2.248578
-160.357368,100,2.265348
210.657173,100,2.282004
211.56521,100,2.298636
150.953032,100,2.315289
-46.782289,100,2.331391
52.185601,100,2.347898
-939.498307,100,2.364182
238.466565,100,2.380318
-8.443564,100,2.396484
-71.132878,100,2.412734
-397.003564,100,2.428917
241.362282,100,2.444946
-289.848619,100,2.808901
147.849219,100,2.825994
124.278805,100,2.842856
-371.717629,100,2.85961
-9.409008,100,2.876248
206.468975,100,2.89298
170.351892,100,2.909743
-428.289846,100,2.926471
116.081779,100,2.94324
-24.531449,100,2.960018
71.12425,100,2.976798
-98.825502,100,2.993546
63.521784,100,3.010152
-594.715992,100,3.026154
-179.375681,100,3.042186
293.315287,100,3.058205
114.829728,100,3.074304
-167.07288,100,3.090316
-328.598468,100,3.106264
93.297521,100,3.122259
225.332779,100,3.138267
197.540499,100,3.481316
299.204293,100,3.49805
159.210141,100,3.514697
15.067789,100,3.531221
-22.647755,100,3.547737
216.777552,100,3.564339
360.92832,100,3.58163
42.080063,100,3.598183
-410.444255,100,3.614842
118.619151,100,3.631411
56.110618,100,3.648071
-235.255555,100,3.664697
-334.249009,100,3.680859
-668.69692,100,3.696806
-261.332612,100,3.71277
163.226321,100,3.728706
13.340862,100,3.744599
-201.154189,100,3.76058
276.530968,100,3.77657
-227.675461,100,3.792476
21.721122,100,4.155249
0.767884,100,4.172301
524.211917,100,4.189177
-199.900008,100,4.206055
78.594819,100,4.222928
166.140951,100,4.239807
-98.254931,100,4.25664
17.508371,100,4.273433
-124.56854,100,4.290167
68.570034,100,4.306983
-54.756059,100,4.324683
-287.520194,100,4.341907
126.476221,100,4.359014
-5.790614,100,4.375295
-265.999664,100,4.391659
-39.660333,100,4.40783
276.389058,100,4.424007
64.283215,100,4.440166
37.845184,100,4.45621
-57.343103,100,4.47285
149.211847,100,4.48905
-264.72889,100,4.846556
-57.548183,100,4.86352
-66.267075,100,4.880647
-30.273615,100,4.897443
580.181298,100,4.914071
61.571549,100,4.930841
-354.847247,100,4.947615
38.551836,100,4.965214
128.841349,100,4.982296
127.233122,100,4.999193
-517.583805,100,5.016058
281.289941,100,5.032888
-78.759541,100,5.049155
-20.721126,100,5.065264
-2.123167,100,5.08144
147.476347,100,5.097533
-41.292551,100,5.113977
215.670625,100,5.130669
-120.772083,100,5.146816
195.658591,100,5.162898
-882.150504,100,5.50787
-83.239282,100,5.524882
-264.773179,100,5.541725
38.571544,100,5.558518
-265.81113,100,5.575709
-371.789128,100,5.592644
382.904927,100,5.609458
345.19146,100,5.626308
-191.899385,100,5.643077
161.828915,100,5.659872
222.189604,100,5.677237
-139.739636,100,5.694445
195.468272,100,5.711019
-91.565244,100,5.727198
-194.78073,100,5.743339
-703.93731,100,5.759422
-153.862783,100,5.775502
15.980217,100,5.791594
-39.873252,100,5.807711
155.971715,100,5.82378
74.913458,100,5.839771
281.484888,100,6.199565
144.722414,100,6.216395
220.563956,100,6.23317
