#{"t_start": 1720386050.515407, "env_id": "None"}
r,l,t
430.438704,100,0.020754
901.759781,100,0.037641
987.752358,100,0.054757
354.447953,100,0.072018
126.855784,100,0.088783
582.869848,100,0.105516
-475.427208,100,0.122154
-39.453774,100,0.138821
308.762183,100,0.155479
420.069929,100,0.172049
-1718.934235,100,0.188657
-520.032421,100,0.205716
147.583383,100,0.222263
113.068814,100,0.238386
84.399373,100,0.25455
300.183741,100,0.270646
-94.562308,100,0.286638
239.378969,100,0.302653
-70.397927,100,0.318756
86.828898,100,0.334827
498.65624,100,0.708564
-31.710855,100,0.725306
97.672137,100,0.741936
29.293089,100,0.758852
153.941748,100,0.775981
622.615815,100,0.792992
360.828618,100,0.80993
-536.907741,100,0.826872
-333.783627,100,0.844439
241.523907,100,0.861942
-100.909569,100,0.878911
217.49172,100,0.895793
791.582758,100,0.911978
143.262036,100,0.928091
88.806121,100,0.945208
-963.639142,100,0.961428
758.345062,100,0.977796
504.685059,100,0.994667
122.91321,100,1.01086
188.70497,100,1.026838
-379.071704,100,1.419508
194.297954,100,1.436659
198.205865,100,1.454677
578.472781,100,1.471503
60.914548,100,1.48816
-4.557648,100,1.504776
-736.262075,100,1.521414
454.25863,100,1.538031
-489.416417,100,1.554624
419.794914,100,1.571236
180.333806,100,1.587795
-412.407812,100,1.60438
276.24856,100,1.620824
409.859709,100,1.636647
-565.592152,100,1.652788
624.331859,100,1.668756
97.349826,100,1.684641
326.176851,100,1.700497
518.48132,100,1.716308
1410.939431,100,1.732189
674.508554,100,1.748016
880.01882,100,2.156322
258.359913,100,2.17402
501.574562,100,2.190881
373.029805,100,2.207598
731.857479,100,2.224374
648.117405,100,2.241134
698.629364,100,2.257973
364.609386,100,2.274801
495.57517,100,2.291646
439.66644,100,2.310448
930.231261,100,2.328145
615.304832,100,2.345364
155.088825,100,2.361721
-835.713286,100,2.378369
1251.440544,100,2.394651
510.811703,100,2.410876
-608.390304,100,2.427091
37.093532,100,2.443233
257.130562,100,2.459351
1094.225243,100,2.475479
-443.761777,100,2.899022
470.689443,100,2.916207
373.891252,100,2.933133
373.482656,100,2.950038
670.568633,100,2.966903
-165.831692,100,2.983751
736.321931,100,3.00062
606.205441,100,3.017479
169.785393,100,3.034299
-2399.337976,100,3.051796
668.281734,100,3.069221
355.528754,100,3.08613
108.829199,100,3.102778
-1357.195562,100,3.118872
194.6422,100,3.135054
-676.296886,100,3.151491
-204.933995,100,3.169435
583.99119,100,3.18702
455.37446,100,3.204464
417.581798,100,3.22183
-693.310623,100,3.23938
-266.823552,100,3.623126
575.767672,100,3.639813
668.611373,100,3.656723
488.246373,100,3.674103
738.657339,100,3.691173
-461.333104,100,3.708185
-1087.347367,100,3.725127
415.273636,100,3.742426
866.257262,100,3.761053
1024.223158,100,3.778561
302.548377,100,3.796188
-838.663905,100,3.813541
927.363136,100,3.830652
-1532.584565,100,3.847311
-1151.820561,100,3.863639
656.621497,100,3.879608
308.565087,100,3.895851
610.909479,100,3.912426
-1694.791419,100,3.928807
709.868145,100,3.945567
601.817249,100,4.307962
294.564297,100,4.325179
-693.085217,100,4.342581
164.50741,100,4.36097
-1169.141878,100,4.379082
378.717759,100,4.396422
445.728503,100,4.413607
469.606572,100,4.431292
634.551045,100,4.44847
899.31157,100,4.465595
2.983255,100,4.482716
100.185307,100,4.499796
342.686903,100,4.516466
-181.779258,100,4.532877
464.19037,100,4.549291
128.280297,100,4.565682
448.840297,100,4.581985
691.453032,100,4.598352
259.879682,100,4.614833
683.962053,100,4.63146
-1301.213271,100,4.647563
438.873942,100,5.014601
-459.308421,100,5.031475
642.075344,100,5.048287
495.920721,100,5.066108
934.501249,100,5.083872
-938.378365,100,5.101646
380.107159,100,5.118645
477.133115,100,5.135543
418.824042,100,5.152434
208.064631,100,5.169301
-846.340351,100,5.186117
2.595156,100,5.202956
368.41911,100,5.219519
-768.992268,100,5.236479
637.7495,100,5.252964
276.458388,100,5.269008
434.631526,100,5.285343
693.116825,100,5.302653
178.912402,100,5.319652
445.782051,100,5.336466
531.680016,100,5.713335
-720.160929,100,5.730551
129.282713,100,5.747593
440.914236,100,5.764663
